stockemotions_full
id,date,ticker,emo_label,senti_label,original,processed
100028,2020-01-06,AAPL,disgust,bullish,$AAPL it’s just too funny and easy to laugh at bears at this point. Why don’t you guys do something useful like find a good job so you can afford to buy Apple instead of just posting jealous hate and looking like a 🤡,Apple it’s just too funny and easy to laugh at bears at this point. Why don’t you guys do something useful like find a good job so you can afford to buy Apple instead of just posting jealous hate and looking like a  [clown face]
100029,2020-01-06,AAPL,optimism,bullish,"$AAPL once hits 300 today, needs another 100 points to reach 400 like that smart gentleman said on CNBC this am 👍🏽","Apple once hits 300 today, needs another 100 points to reach 400 like that smart gentleman said on CNBC this am  [thumbs up medium skin tone]"
100030,2020-01-06,AMZN,depression,bullish,$AMZN I hope we can come close to touching 2000 either tomorrow or Wednesday 😭,Amazon I hope we can come close to touching 2000 either tomorrow or Wednesday  [loudly crying face]
100031,2020-01-06,TSLA,anger,bullish,"$TSLA  Squeal like a pig, Chanos! Squeal like a pig!! 🐖","Tesla  Squeal like a pig, Chanos! Squeal like a pig!!  [pig] "
100032,2020-01-06,NFLX,excitement,bullish,$NFLX 🔥🔥🔥✈️ 336 test to possibly test 340s tomorrow / ALL DAY mentions since open 😎⭐️,Netflix  [fire]    [airplane]  336 test to possibly test 340s tomorrow / ALL DAY mentions since open  [smiling face with sunglasses]  [star]
100033,2020-01-06,TSLA,ambiguous,bullish,$TSLA shorts thought they are making a quick and easy bet.....hahhaha 🖕,Tesla shorts thought they are making a quick and easy bet.....hahhaha  [middle finger]
100034,2020-01-06,TSLA,anxiety,bullish,$TSLA if you had only listened bears... 🤦🏻‍♂️,Tesla if you had only listened bears...  [man facepalming light skin tone]
100035,2020-01-06,TSLA,optimism,bullish,Once again $TSLA keeps roasting the shorts🔥📈,Once again Tesla keeps roasting the shorts [fire]  [chart increasing]
100036,2020-01-07,TSLA,anger,bullish,$TSLA BUT BUTT WW3? 😢 Screw the sink this stock has had the whole house thrown at it and still goes up. You bears are real 🤡 s,Tesla BUT BUTT WW3?  [crying face]  Screw the sink this stock has had the whole house thrown at it and still goes up. You bears are real  [clown face]  s
100037,2020-01-07,TSLA,excitement,bullish,$TSLA Congratulations to Elon and SpaceX for another successful drone ship landing. ...the man is in the zone!! 🚀,Tesla Congratulations to Elon and SpaceX for another successful drone ship landing. ...the man is in the zone!!  [rocket]
100038,2020-01-07,FB,optimism,bullish,"$FB Finally gapped up. Took a year and half to do it, but f’ck it feels good. Long and strong 💪🏼. Let’s keep this train moving. Still has some more to go before I’ll even consider selling my calls of any of my shares.","Facebook Finally gapped up. Took a year and half to do it, but f’ck it feels good. Long and strong  [flexed biceps medium light skin tone] . Let’s keep this train moving. Still has some more to go before I’ll even consider selling my calls of any of my shares."
100039,2020-01-07,TSLA,belief,bullish,$TSLA these bears constantly post old a$$ pics of crashed Tesla’s hahahahaha. Have you not learned yet I’m pretty sure your account learned by now 😜🔥 🚀 Hope you readyyyy for what’s next 😉,Tesla these bears constantly post old a$$ pics of crashed Tesla’s hahahahaha. Have you not learned yet I’m pretty sure your account learned by now  [winking face with tongue]  [fire]   [rocket]  Hope you readyyyy for what’s next  [winking face]
100040,2020-01-07,TSLA,optimism,bullish,$TSLA Top of the channel $485 believe it 💰,Tesla Top of the channel $485 believe it  [money bag]
100041,2020-01-07,TSLA,amusement,bullish,$TSLA wow jpm with a whole $20 😂😂😂,Tesla wow jpm with a whole $20  [face with tears of joy]
100042,2020-01-07,DIS,disgust,bearish,"$DIS Just keep falling, just keep falling, just keep falling falling falling. What does DIS do all month? Falling falling falling 😂
-Dory","Disney Just keep falling, just keep falling, just keep falling falling falling. What does DIS do all month? Falling falling falling  [face with tears of joy] 
-Dory"
100043,2020-01-07,AAPL,amusement,bullish,$AAPL Bears & Shorts Later Today 😂😂😂,Apple Bears & Shorts Later Today  [face with tears of joy]
100044,2020-01-07,TSLA,optimism,bullish,$TSLA head fake w more short covering. 👑,Tesla head fake w more short covering.  [crown]
100045,2020-01-07,BA,belief,bullish,$BA  Stocks usually look bearish until they don’t lol. BA BA BOOM 🤯,Boeing  Stocks usually look bearish until they don’t lol. BA BA BOOM  [exploding head]
100046,2020-01-07,WMT,depression,bearish,I would of thought $WMT would have got hit a little harder with that 54.6 million dollar lawsuit they just lost for not paying their drivers. 😯,I would of thought Walmart would have got hit a little harder with that 54.6 million dollar lawsuit they just lost for not paying their drivers.  [hushed face]
100047,2020-01-07,TSLA,optimism,bullish,"$TSLA bears 🐻 I say, you really do have some good points, and you’re right this may pull back, but why would you get in front of this right now? Or over the last month? There’s other opportunities out there even for your hateful selves","Tesla bears  [bear]  I say, you really do have some good points, and you’re right this may pull back, but why would you get in front of this right now? Or over the last month? There’s other opportunities out there even for your hateful selves"
100048,2020-01-07,TSLA,belief,bullish,$TSLA $470 by open tomorrow. Get your electric rocket ships ready we going to the moon 🔌🚀,Tesla $470 by open tomorrow. Get your electric rocket ships ready we going to the moon  [electric plug]  [rocket]
100049,2020-01-07,TSLA,confusion,bullish,$TSLA have only 2000$ im not going far with this at this point 🤔,Tesla have only 2000$ im not going far with this at this point  [thinking face]
100050,2020-01-07,TSLA,optimism,bullish,$TSLA man I can't wait till the day Tesla start paying out dividends... once that announcement happens the stock will explode before the Ex-date 💪💪🏿,Tesla man I can't wait till the day Tesla start paying out dividends... once that announcement happens the stock will explode before the Ex-date  [flexed biceps]  [flexed biceps dark skin tone]
100051,2020-01-07,FB,panic,bullish,$FB stop selling!! My $215 weekly calls are getting wrecked! 😒,Facebook stop selling!! My $215 weekly calls are getting wrecked!  [unamused face]
100052,2020-01-07,TSLA,optimism,bullish,$TSLA should i do a search of all the “mark this post” from the bear shorts that have been fried the last month? 🤡,Tesla should i do a search of all the “mark this post” from the bear shorts that have been fried the last month?  [clown face]
100053,2020-01-07,AMZN,optimism,bullish,$AMZN CONGRATS TO ALL THE LONG - there were some trying times but our patience IS being rewarded- lots more to come 🙏🏽,Amazon CONGRATS TO ALL THE LONG - there were some trying times but our patience IS being rewarded- lots more to come  [folded hands medium skin tone]
100054,2020-01-07,TSLA,optimism,bullish,$TSLA we’ll it’s not &BYND mane it’s not too late to buy 🤦🏽‍♂️ just maybe,Tesla we’ll it’s not &BYND mane it’s not too late to buy  [man facepalming medium skin tone]  just maybe
100055,2020-01-07,TSLA,disgust,bullish,"$TSLA yep, especially put buyers and call chasers oof 😂😂😂🐷","Tesla yep, especially put buyers and call chasers oof  [face with tears of joy]    [pig face] "
100056,2020-01-07,AAPL,anxiety,bearish,$AAPL who is ready to open tomorrow  at $290. It’s time 🐷,Apple who is ready to open tomorrow  at $290. It’s time  [pig face]
100057,2020-01-07,AAPL,anger,bearish,$AAPL Green by morning my ass!! Y’all should have taken profits 😂🤦🏻‍♂️👀🍎,Apple Green by morning my ass!! Y’all should have taken profits  [face with tears of joy]  [man facepalming light skin tone]  [eyes]  [red apple]
100058,2020-01-08,AAPL,ambiguous,bearish,$AAPL buy 300 call easy money 🤣🤣🤣🤣🤣🤣🤣🤣,Apple buy 300 call easy money  [rolling on the floor laughing]
100059,2020-01-08,AAPL,disgust,bearish,$AAPL maybe dan Ives at Wedbush can reimburse all you chasers for your losses. Or maybe not 😂😂,Apple maybe dan Ives at Wedbush can reimburse all you chasers for your losses. Or maybe not  [face with tears of joy]
100060,2020-01-08,TSLA,excitement,bullish,$TSLA another target raised to $556 wow. When the dust settles this will 🔥 🚀  😉,Tesla another target raised to $556 wow. When the dust settles this will  [fire]   [rocket]    [winking face]
100061,2020-01-08,TSLA,optimism,bullish,$TSLA if this takes a big dip tomorrow morning I’m closing all my hedges and rolling my $525k of sub $300 strike Jan 17 calls up to $400+ strike calls... bring it on 🐻,Tesla if this takes a big dip tomorrow morning I’m closing all my hedges and rolling my $525k of sub $300 strike Jan 17 calls up to $400+ strike calls... bring it on  [bear]
100062,2020-01-08,TSLA,excitement,bullish,$TSLA wow it's great to wake up to this! This is going to open at 475 and maybe hit 500 today!!! 😍🙃,Tesla wow it's great to wake up to this! This is going to open at 475 and maybe hit 500 today!!!  [smiling face with heart eyes]  [upside down face]
100063,2020-01-08,TSLA,anxiety,bullish,"$TSLA Bullish AF to the mewn, but that 15 point bubble-pop drop last night was not a good feeling while holding calls 🤢🤮 *bork*","Tesla Bullish AF to the mewn, but that 15 point bubble-pop drop last night was not a good feeling while holding calls  [nauseated face]  [face vomiting]  *bork*"
100064,2020-01-08,DIS,amusement,bullish,"$DIS small piece of advice, if you’re long calls, turning them into spreads before close really helps reduce risk. Then you can close the short leg out in the morning, usually for a profit when things are starting to look bullish again 😁","Disney small piece of advice, if you’re long calls, turning them into spreads before close really helps reduce risk. Then you can close the short leg out in the morning, usually for a profit when things are starting to look bullish again  [beaming face with smiling eyes] "
100065,2020-01-08,TSLA,excitement,bullish,"$TSLA Oh yeah, was that yesterday? 30 point run. 🚀 Give me $489!","Tesla Oh yeah, was that yesterday? 30 point run.  [rocket]  Give me $489!"
100066,2020-01-08,TSLA,excitement,bullish,"$TSLA I just took profits and resized my position a few days ago, soon I’ll be doing it again. 🚀","Tesla I just took profits and resized my position a few days ago, soon I’ll be doing it again.  [rocket] "
100068,2020-01-08,TSLA,amusement,bullish,$TSLA Bwahahaha there isn’t a thing capable of stopping this train 🥳,Tesla Bwahahaha there isn’t a thing capable of stopping this train  [partying face]
100069,2020-01-08,TSLA,confusion,bullish,$TSLA who’s making tendies 👀 missed this run,Tesla who’s making tendies  [eyes]  missed this run
100070,2020-01-08,AAPL,optimism,bearish,$AAPL short term 🐻 people need to pull some off the table with all uncertainty floating around. This is just dicey,Apple short term  [bear]  people need to pull some off the table with all uncertainty floating around. This is just dicey
100071,2020-01-08,TSLA,ambiguous,bullish,$TSLA people seem to have forgotten about the energy business👀,Tesla people seem to have forgotten about the energy business [eyes]
100072,2020-01-08,TSLA,amusement,bullish,"$TSLA i thought $500 by end of week, not middle of week 🤣🤣","Tesla i thought $500 by end of week, not middle of week  [rolling on the floor laughing]"
100073,2020-01-08,AAPL,disgust,bearish,$AAPL What makes bulls believe that Terrorist will stop 🛑 launching rockets 🧨,Apple What makes bulls believe that Terrorist will stop  [stop sign]  launching rockets  [firecracker]
100074,2020-01-08,TSLA,optimism,bullish,$TSLA grabbed a $500 call and flipped it for over 100%. Paid for my loser put and then some. Rolled over to a $515. Let’s keep the party going. 🚀🌙,Tesla grabbed a $500 call and flipped it for over 100%. Paid for my loser put and then some. Rolled over to a $515. Let’s keep the party going.  [rocket]  [crescent moon]
100075,2020-01-08,TSLA,ambiguous,bullish,$TSLA remember this? Now it seems like a distant memory... 2 weeks ago 😁,Tesla remember this? Now it seems like a distant memory... 2 weeks ago  [beaming face with smiling eyes]
100076,2020-01-08,TSLA,excitement,bullish,$TSLA bunch of cocaine and two chicks at the same time 📈💸,Tesla bunch of cocaine and two chicks at the same time  [chart increasing]  [money with wings]
100077,2020-01-08,AAPL,excitement,bullish,$AAPL hahaha many bears buying put/sell. Strong strong but we wanna see 305 before close hahaha🤣💯👆💹💵,Apple hahaha many bears buying put/sell. Strong strong but we wanna see 305 before close hahaha [rolling on the floor laughing]  [hundred points]  [backhand index pointing up]  [chart increasing with yen]  [dollar banknote]
100078,2020-01-08,TSM,optimism,bullish,$TSM ...we will definitely close at $59 today.😎,TSMC ...we will definitely close at $59 today. [smiling face with sunglasses]
100079,2020-01-08,BABA,optimism,bullish,"$BABA yeez guys, dont sell off now ... this dragon has just started to fly 💸💸💸💸💸","Alibaba yeez guys, dont sell off now ... this dragon has just started to fly  [money with wings]     "
100080,2020-01-08,DIS,depression,bearish,$DIS Since July 2019 DIS has gone up 0% I’m guessing it will continue going sideways 😢,Disney Since July 2019 DIS has gone up 0% I’m guessing it will continue going sideways  [crying face]
100081,2020-01-08,TSLA,excitement,bullish,$TSLA this is WILD. And I’m loving every bit of it 🤑,Tesla this is WILD. And I’m loving every bit of it  [money mouth face]
100082,2020-01-08,TSLA,optimism,bullish,$TSLA For years Kind of going nowhere.. Now the most loved company in the world 💵 💵,Tesla For years Kind of going nowhere.. Now the most loved company in the world  [dollar banknote]
100083,2020-01-09,TSLA,amusement,bullish,Tesla shorts waiting on the market to open this morning ...  $TSLA 😍,Tesla shorts waiting on the market to open this morning ...  Tesla  [smiling face with heart eyes]
100084,2020-01-09,TSLA,excitement,bullish,$TSLA so happy I don't have to get Elon tatted on me 😂 Tomorrow hit 500+ sweet cheeks 😘,Tesla so happy I don't have to get Elon tatted on me  [face with tears of joy]  Tomorrow hit 500+ sweet cheeks  [face blowing a kiss]
100085,2020-01-09,TSLA,optimism,bullish,$TSLA ahh it’s gonna be another good day tomorrow if the futures keep ripping😎🎯,Tesla ahh it’s gonna be another good day tomorrow if the futures keep ripping [smiling face with sunglasses]  [bullseye]
100086,2020-01-09,TSLA,excitement,bullish,$TSLA Did Elon do another dance today?..cause I love it when he dances..such a good dancer!😆😉,Tesla Did Elon do another dance today?..cause I love it when he dances..such a good dancer! [grinning squinting face]  [winking face]
100087,2020-01-09,TSLA,optimism,bullish,$TSLA how I wish I didn't sell at $470! 😳😅,Tesla how I wish I didn't sell at $470!  [flushed face]  [grinning face with sweat]
100088,2020-01-09,AAPL,amusement,bullish,"$AAPL again, shorts gonna buy put and sells, scared traders gonna take profit and selling shares/calls 😂 if thats gonna happen, BUY THE DIPS! HOLD AND GO LONG! BUY NEW CAR OR WHAT EVER! 👆💯💵🤲💹 End with 310-315 this week end next week","Apple again, shorts gonna buy put and sells, scared traders gonna take profit and selling shares/calls  [face with tears of joy]  if thats gonna happen, BUY THE DIPS! HOLD AND GO LONG! BUY NEW CAR OR WHAT EVER!  [backhand index pointing up]  [hundred points]  [dollar banknote]  [palms up together]  [chart increasing with yen]  End with 310-315 this week end next week"
100089,2020-01-09,TSLA,excitement,bullish,$TSLA Little dip to lure them in & then BOOM 💥 $505,Tesla Little dip to lure them in & then BOOM  [collision]  $505
100090,2020-01-09,TSLA,excitement,bullish,$TSLA Puts the art in fart🚀🚀🚀,Tesla Puts the art in fart [rocket]
100091,2020-01-09,AAPL,optimism,bullish,$AAPL time to take a breather 😎,Apple time to take a breather  [smiling face with sunglasses]
100092,2020-01-09,TSLA,amusement,bullish,$TSLA Waiting for that hot & moist reversal 😋,Tesla Waiting for that hot & moist reversal  [face savoring food]
100093,2020-01-09,TSLA,amusement,bullish,$TSLA 500+ eod no worries 😉,Tesla 500+ eod no worries  [winking face]
100094,2020-01-09,V,optimism,bullish,$V people Shopped Non stop during the holiday season and now Gas stations in US requires all pumps to upgrade to pay by Credit cards ....Now you can tell where VISA is heading too ...easy 220 🙏🙏🙏🙏🚀🚀🚀🚀🚀🚀❤❤❤❤,Visa people Shopped Non stop during the holiday season and now Gas stations in US requires all pumps to upgrade to pay by Credit cards ....Now you can tell where VISA is heading too ...easy 220  [folded hands]     [rocket]       [red heart]
100095,2020-01-09,SBUX,belief,bullish,$SBUX following through nicely as shown in yesterday’s tweets. 👍💪🙏🤑,Starbucks following through nicely as shown in yesterday’s tweets.  [thumbs up]  [flexed biceps]  [folded hands]  [money mouth face]
100096,2020-01-09,AMZN,belief,bearish,$AMZN Now it’s moving with the market 😂,Amazon Now it’s moving with the market  [face with tears of joy]
100097,2020-01-09,TSLA,excitement,bullish,$TSLA who else bought the dip 💰🤑,Tesla who else bought the dip  [money bag]  [money mouth face]
100098,2020-01-09,DIS,anger,bearish,$DIS down 0.27% pretty much the expected daily return 🤷🏼‍♂️,Disney down 0.27% pretty much the expected daily return  [man shrugging medium light skin tone]
100099,2020-01-09,AAPL,belief,bullish,$AAPL nice to look at my account today and see my shares up over 100% and climbing. 👏🏻👏🏻,Apple nice to look at my account today and see my shares up over 100% and climbing.  [clapping hands light skin tone]
100100,2020-01-09,SBUX,optimism,bullish,"$SBUX I drink enough coffee, I’m investing 💪🏼","Starbucks I drink enough coffee, I’m investing  [flexed biceps medium light skin tone] "
100101,2020-01-09,TSLA,optimism,bearish,"$TSLA looking like no 470 today, feel good about getting there tomorrow ✌️","Tesla looking like no 470 today, feel good about getting there tomorrow  [victory hand]"
100102,2020-01-09,FB,optimism,bullish,$FB VERY NICE GAINS TODAY.... thank you  Gotta run.... can’t be greedy right? GLTA!!!!! Hope you guys get to 220+👍👍👍,Facebook VERY NICE GAINS TODAY.... thank you  Gotta run.... can’t be greedy right? GLTA!!!!! Hope you guys get to 220+ [thumbs up]
100103,2020-01-09,AAPL,belief,bullish,$AAPL Apple is going to keep on Running! Undervalued 🚀🚀🚀,Apple Apple is going to keep on Running! Undervalued  [rocket]
100104,2020-01-09,FB,anxiety,bullish,$FB looks likes she’s going to run tomorrow she’s lagged and broke out yesterday 👍🏻👍🏻,Facebook looks likes she’s going to run tomorrow she’s lagged and broke out yesterday  [thumbs up light skin tone]
100105,2020-01-09,TSLA,excitement,bearish,$TSLA Funny How Bulls were thinking 500+ then they got a reality check today 😂,Tesla Funny How Bulls were thinking 500+ then they got a reality check today  [face with tears of joy]
100106,2020-01-10,BA,anger,bullish,$BA BOEING is a bear proof stock. 😂,Boeing BOEING is a bear proof stock.  [face with tears of joy]
100107,2020-01-10,TSLA,anger,bearish,$TSLA The steepening of this move has me licking my chops for some bull 🥩,Tesla The steepening of this move has me licking my chops for some bull  [cut of meat]
100108,2020-01-10,BA,disgust,bullish,$BA new CEO already cleaning out the dirty laundry—👍🏻 $340,Boeing new CEO already cleaning out the dirty laundry— [thumbs up light skin tone]  $340
100109,2020-01-10,NVDA,optimism,bullish,$NVDA i love when I’m right 🙏🏼 💰💰💰💰💰💰💰💰,NVIDIA i love when I’m right  [folded hands medium light skin tone]   [money bag]
100110,2020-01-10,TSLA,anxiety,bearish,$TSLA reminds me of yesterday’s PM. Just sayin’ 🤷‍♂️,Tesla reminds me of yesterday’s PM. Just sayin’  [man shrugging]
100111,2020-01-10,TSLA,anxiety,bearish,$TSLA 5 yr Chart! When a stock doubles in less than 2 months it's a good idea to ring the register or get slammed. 💡,Tesla 5 yr Chart! When a stock doubles in less than 2 months it's a good idea to ring the register or get slammed.  [light bulb]
100112,2020-01-10,AAPL,ambiguous,bullish,$AAPL thanks bears! ATH. 50% profit on calls overnight 👍🏻👍🏻,Apple thanks bears! ATH. 50% profit on calls overnight  [thumbs up light skin tone]
100113,2020-01-10,BA,amusement,bullish,$BA that email leaked was a huge nothing burger 🤣🤣,Boeing that email leaked was a huge nothing burger  [rolling on the floor laughing]
100114,2020-01-10,TSLA,ambiguous,bearish,$TSLA good morning longs. How are those purchases near 500 looking now? BAHAHA 😅🤣🤣😅🤣🤣😅😅🤣🤣,Tesla good morning longs. How are those purchases near 500 looking now? BAHAHA  [grinning face with sweat]  [rolling on the floor laughing]
100116,2020-01-10,TSLA,ambiguous,bearish,"$TSLA i think in honor of elon... all the bears need to throw out the memes, and we all post our own snaps wearing short shorts 🤪🤡🐻♥️.  on next drop","Tesla i think in honor of elon... all the bears need to throw out the memes, and we all post our own snaps wearing short shorts  [zany face]  [clown face]  [bear]  [heart suit] .  on next drop"
100117,2020-01-10,TSLA,anxiety,bearish,$TSLA is very overvalued. Drops like a rock soon 🤷‍♂️,Tesla is very overvalued. Drops like a rock soon  [man shrugging]
100118,2020-01-10,NFLX,surprise,bearish,$NFLX Morningstar’s fair value estimate is $135 😳,Netflix Morningstar’s fair value estimate is $135  [flushed face]
100119,2020-01-10,TSLA,optimism,bearish,$TSLA TSLA Puts and AAPL Calls💵👍🏼,Tesla TSLA Puts and AAPL Calls [dollar banknote]  [thumbs up medium light skin tone]
100120,2020-01-10,BA,disgust,bullish,$BA is there any clown 🤡 than this man,Boeing is there any clown  [clown face]  than this man
100121,2020-01-10,AAPL,anxiety,bullish,$AAPL all those called getting burnt 🥵,Apple all those called getting burnt  [hot face]
100122,2020-01-10,TSLA,anger,bearish,$TSLA making money 💰 love to short this pig 🐷,Tesla making money  [money bag]  love to short this pig  [pig face]
100123,2020-01-10,TSLA,anger,bearish,If your stock needs the CEO to tap dance (instead of actually making a profit) maybe you joined a cult. 🤷‍♂️ $TSLA,If your stock needs the CEO to tap dance (instead of actually making a profit) maybe you joined a cult.  [man shrugging]  Tesla
100124,2020-01-10,TSLA,anxiety,bearish,$TSLA ouch 🤕 honestly it will bounce back next week hope I can take a position,Tesla ouch  [face with head bandage]  honestly it will bounce back next week hope I can take a position
100125,2020-01-10,TSLA,panic,bearish,$TSLA Ruh Roh bulls...this is not looking good 😱,Tesla Ruh Roh bulls...this is not looking good  [face screaming in fear]
100126,2020-01-10,TSLA,confusion,bearish,$TSLA Suddenly bulls are not so sure anymore🤔... say hello to $450 sooner than you think,Tesla Suddenly bulls are not so sure anymore [thinking face] ... say hello to $450 sooner than you think
100127,2020-01-10,DIS,anxiety,bearish,"$DIS So many perma-bulls 🤦‍♂️... wake up, this isn’t moving until earnings.","Disney So many perma-bulls  [man facepalming] ... wake up, this isn’t moving until earnings."
100128,2020-01-10,AAPL,optimism,bullish,"$AAPL i missed something.. Was whole day off, i couldn't buy anything. But i see bulls are fine! 330+ after earnings! Go short/longterms!  Have a great weekend💵💯🎊","Apple i missed something.. Was whole day off, i couldn't buy anything. But i see bulls are fine! 330+ after earnings! Go short/longterms!  Have a great weekend [dollar banknote]  [hundred points]  [confetti ball]"
100129,2020-01-11,BA,disgust,bearish,$BA 😂 you pumpers are hilarious! « Going to 400$..... » like the Max problems never happened 😂,Boeing  [face with tears of joy]  you pumpers are hilarious! « Going to 400$..... » like the Max problems never happened
100130,2020-01-11,AAPL,belief,bullish,$AAPL pre-game: Apple AirPods and Apple Beats everywhere on these players. 🏈 💰,Apple pre-game: Apple AirPods and Apple Beats everywhere on these players.  [american football]   [money bag]
100131,2020-01-12,AAPL,optimism,bullish,$AAPL waiting for a new dip tu buy 💪🏻,Apple waiting for a new dip tu buy  [flexed biceps light skin tone]
100132,2020-01-13,AAPL,excitement,bullish,$AAPL has been undervalued for a long time and they are blowing out all the numbers with the IPhone 11🚀❤️ $320 today or tomorrow .,Apple has been undervalued for a long time and they are blowing out all the numbers with the IPhone 11 [rocket]  [red heart]  $320 today or tomorrow .
100133,2020-01-13,AAPL,amusement,bullish,$AAPL no need to panic we know where we’re going!😎🥳,Apple no need to panic we know where we’re going! [smiling face with sunglasses]  [partying face]
